new jersey,201,est,"hackensack, jersey city, union city, rutherford, leonia"
district of columbia,202,est,"washington, district of columbia"
connecticut,203,est,"bridgeport, new haven, stamford, waterbury, norwalk, danbury, greenwich"
alabama,205,cst,"birmingham, huntsville, tuscaloosa, anniston"
washington,206,pst,"seattle, everett"
maine,207,est,all
idaho,208,mst,all
california,209,pst,"stockton, modesto, merced, oakdale"
texas,210,cst,san antonio
new york,212,est,manhattan
california,213,pst,"los angeles, compton"
texas,214,cst,dallas
pennsylvania,215,est,"philadelphia, lansdale, doylestown, newtown, quakertown"
ohio,216,est,"cleveland, terrace, independence, montrose"
illinois,217,cst,"springfield, champaign urbana, decatur, central illinois"
minnesota,218,cst,"duluth, virginia, moorhead, brainerd, wadena"
indiana,219,cst,"gary, hammond, merrillville, portage, michigan city, valparaiso"
ohio,220,est,"portsmouth, newark, zanesville, wheeling, steubenville"
illinois,224,cst,"northbrook, skokie, evanston, glenview, waukegan, desplaines, elk grove, chicago"
louisiana,225,cst,baton rouge and surrounding areas
mississippi,228,cst,"gulfport, biloxi, pascagoula, bay st louis"
georgia,229,est,"albany, valdosta, thomasville, bainbridge, tifton, americus, moultrie, cordele"
michigan,231,est,"muskegon, traverse city, big rapids, cadillac, cheboygan"
ohio,234,est,"akron, youngstown, canton, warren, kent, alliance, medina, new philadelphia"
florida,239,est,"ft myers, naples, cape coral, bonita springs, immokalee, lehigh acres, sanibel, captiva, pine island"
maryland,240,est,"rockville, silver spring, bethesda, gaithersburg, frederick, laurel, hagerstown"
michigan,248,est,"troy, pontiac, royal oak, birmingham, rochester, farmington hills"
alabama,251,cst,"mobile, prichard, tillmans corner, fairhope, jackson, gulfshores"
north carolina,252,est,"greenville, rocky mount, wilson, new bern"
washington,253,pst,"tacoma, kent, auburn"
texas,254,cst,"waco, killeen, temple"
alabama,256,cst,"huntsville, anniston, decatur, gadsden, florence"
indiana,260,est,"fort wayne, huntington, wabash, lagrange"
wisconsin,262,cst,"green bay, appleton, racine, kenosha, oshkosh, waukesha, menomonee falls, west bend, sheboygan"
pennsylvania,267,est,"philadelphia, lansdale, doylestown, newtown, quakertown"
michigan,269,est,"kalamazoo, battle creek, st joseph, three rivers, south haven, benton harbor, sturgis, hastings"
kentucky,270,cst,"bowling green, paducah, owensboro, hopkinsville"
pennsylvania,272,est,"wilkes-barre, scranton, stroudsburg, williamsport, pittston"
virginia,276,est,"martinsville, abingdon, wytheville, bristol, marion, collinsville"
texas,281,cst,"houston, sugar land, buffalo, airline, greenspoint, spring"
maryland,301,est,"rockville, silver spring, bethesda, gaithersburg, frederick, laurel, hagerstown"
delaware,302,est,all
colorado,303,mst,"denver, littleton, englewood, arvada, boulder, aurora"
west virginia,304,est,all
florida,305,est,"miami, perrine, homestead, florida keys"
wyoming,307,mst,all
nebraska,308,cst,"grand island, kearney, north platte, scottsbluff"
illinois,309,cst,"peoria, bloomington, rock island, galesburg, macomb"
california,310,pst,"compton, santa monica, beverly hills, west los angles, inglewood, redondo, el segundo, culver city, torrance"
illinois,312,cst,"chicago, wheeling"
michigan,313,est,"detroit, livonia, dearborn"
missouri,314,cst,"saint louis, ladue, kirkwood, creve coeur, overland, ferguson"
new york,315,est,"syracuse, utica, watertown, rome"
kansas,316,cst,"wichita, hutchinson"
indiana,317,est,"indianapolis, carmel, fishers, greenwood"
louisiana,318,cst,"shreveport, monroe, alexandria, ruston, natchitoches"
iowa,319,cst,"cedar rapids, iowa city, waterloo, burlington"
minnesota,320,cst,"st cloud, alexandria, willmar, little falls"
